student_id,academic_year,subject_code,subject_name,internal_marks,external_mark
S719-25,2024-2025,SUB04,Social Studies,134,25
S763-25,2024-2025,SUB05,Computer Science,30,35
S001-24,2023-2024,SUB03,English,35,44
S671-24,2023-2024,SUB04,Social Studies,35,50
S811-25,2024-2025,SUB04,Social Studies,35,50
S965-25,2024-2025,SUB04,Social Studies,35,50
S538-24,2023-2024,SUB04,Social Studies,35,50
S575-25,2024-2025,SUB04,Social Studies,35,42
S269-24,2023-2024,SUB04,Social Studies,35,48
S546-24,2023-2024,SUB04,Social Studies,35,48
S062-24,2023-2024,SUB04,Social Studies,35,45
S519-25,2024-2025,SUB04,Social Studies,35,44
S594-25,2024-2025,SUB04,Social Studies,35,41
S003-24,2023-2024,SUB04,Social Studies,35,40
S917-25,2024-2025,SUB04,Social Studies,35,40
S276-25,2024-2025,SUB04,Social Studies,35,39
S373-24,2023-2024,SUB04,Social Studies,35,38
S104-25,2024-2025,SUB04,Social Studies,35,35
S634-25,2024-2025,SUB04,Social Studies,35,34
S053-24,2023-2024,SUB04,Social Studies,35,32
S456-24,2023-2024,SUB04,Social Studies,35,31
S194-25,2024-2025,SUB01,Mathematics,32,60
S690-25,2024-2025,SUB04,Social Studies,35,31
S426-25,2024-2025,SUB04,Social Studies,35,29
S883-24,2023-2024,SUB04,Social Studies,35,26
S038-25,2024-2025,SUB04,Social Studies,35,25
S307-24,2023-2024,SUB04,Social Studies,35,24
S760-24,2023-2024,SUB04,Social Studies,35,24
S156-25,2024-2025,SUB04,Social Studies,35,22
S723-25,2024-2025,SUB04,Social Studies,35,20
S503-25,2024-2025,SUB04,Social Studies,35,19
S896-25,2024-2025,SUB04,Social Studies,35,18
S751-24,2023-2024,SUB01,Mathematics,32,60
S228-25,2024-2025,SUB04,Social Studies,35,10
S474-25,2024-2025,SUB04,Social Studies,35,10
S033-25,2024-2025,SUB02,Science,35,37
S988-24,2023-2024,SUB04,Social Studies,35,10
S046-25,2024-2025,SUB04,Social Studies,35,
S237-24,2023-2024,SUB04,Social Studies,35,
S036-24,2023-2024,SUB03,English,35,28
S188-24,2023-2024,SUB01,Mathematics,30,60
S052-25,2024-2025,SUB03,English,35,23
S055-25,2024-2025,SUB02,Science,35,29
S315-24,2023-2024,SUB01,Mathematics,30,60
S538-24,2023-2024,SUB01,Mathematics,30,60
S074-25,2024-2025,SUB03,English,35,51
S088-24,2023-2024,SUB02,Science,35,48
S094-24,2023-2024,SUB03,English,35,34
S107-25,2024-2025,SUB03,English,35,42
S152-24,2023-2024,SUB03,English,35,52
S877-25,2024-2025,SUB01,Mathematics,29,60
S161-24,2023-2024,SUB02,Science,35,45
S166-25,2024-2025,SUB03,English,35,14
S177-24,2023-2024,SUB02,Science,35,43
S185-25,2024-2025,SUB03,English,35,19
S186-24,2023-2024,SUB02,Science,35,51
S201-24,2023-2024,SUB02,Science,35,12
