student_id,academic_year,subject_code,attendance_percentage,participation_score
S001-24,2023-2024,SUB04,69,7
S002-25,2024-2025,SUB04,71,7
S002-25,2024-2025,SUB05,63,7
S004-24,2023-2024,SUB01,76,7
S177-24,2023-2024,SUB02,80,7
S007-24,2023-2024,SUB04,62,7
S442-25,2024-2025,SUB03,185,7
S010-24,2023-2024,SUB05,48,7
S902-24,2023-2024,SUB03,80,7
S014-24,2023-2024,SUB05,,7
S015-24,2023-2024,SUB05,95,7
S021-25,2024-2025,SUB05,43,7
S022-25,2024-2025,SUB05,67,7
S026-24,2023-2024,SUB04,62,7
S865-24,2023-2024,SUB02,80,7
S031-24,2023-2024,SUB01,50,7
S032-25,2024-2025,SUB05,88,7
S805-25,2024-2025,SUB03,80,7
S809-24,2023-2024,SUB03,80,7
S034-24,2023-2024,SUB05,53,7
S037-24,2023-2024,SUB01,67,7
S998-25,2024-2025,SUB03,80,7
S038-25,2024-2025,SUB04,53,7
S956-25,2024-2025,SUB02,80,7
S987-24,2023-2024,SUB02,80,7
S044-25,2024-2025,SUB05,54,7
S046-25,2024-2025,SUB01,50,7
S049-25,2024-2025,SUB04,66,7
S787-25,2024-2025,SUB03,80,7
S050-25,2024-2025,SUB04,44,7
S052-25,2024-2025,SUB01,75,7
S220-24,2023-2024,SUB02,80,8
S052-25,2024-2025,SUB04,84,7
S056-25,2024-2025,SUB01,,7
S322-24,2023-2024,SUB02,80,6
S058-25,2024-2025,SUB04,79,7
S059-24,2023-2024,SUB01,43,7
S456-24,2023-2024,SUB02,80,6
S064-25,2024-2025,SUB05,81,7
S210-24,2023-2024,SUB02,80,5
S018-24,2023-2024,SUB03,80,7
S069-24,2023-2024,SUB05,70,7
S492-25,2024-2025,SUB03,80,7
S011-24,2023-2024,SUB02,80,4
S518-25,2024-2025,SUB02,80,4
S914-25,2024-2025,SUB03,80,7
S081-25,2024-2025,SUB01,77,7
S172-25,2024-2025,SUB02,80,3
S084-25,2024-2025,SUB05,64,7
S085-24,2023-2024,SUB05,42,7
S086-24,2023-2024,SUB05,51,7
S451-25,2024-2025,SUB03,80,7
S391-24,2023-2024,SUB02,80,2
S652-25,2024-2025,SUB03,80,7
S504-24,2023-2024,SUB02,80,2
S097-24,2023-2024,SUB04,54,7
S728-24,2023-2024,SUB02,80,2
S100-25,2024-2025,SUB01,69,7
S102-25,2024-2025,SUB05,87,7
S186-24,2023-2024,SUB03,80,7
S651-24,2023-2024,SUB02,80,7
S105-25,2024-2025,SUB04,,7
S106-25,2024-2025,SUB01,60,7
S761-24,2023-2024,SUB02,80,7
S112-25,2024-2025,SUB01,76,7
S319-25,2024-2025,SUB02,80,8
S114-24,2023-2024,SUB04,40,7
S116-25,2024-2025,SUB04,73,7
S117-25,2024-2025,SUB05,54,7
S121-25,2024-2025,SUB05,61,7
S077-24,2023-2024,SUB03,80,7
S123-24,2023-2024,SUB04,75,7
S467-24,2023-2024,SUB03,80,7
S131-24,2023-2024,SUB05,46,7
S140-25,2024-2025,SUB01,69,7
S773-24,2023-2024,SUB02,80,8
S297-24,2023-2024,SUB03,80,7
S141-24,2023-2024,SUB05,40,7
S829-25,2024-2025,SUB02,80,8
S572-24,2023-2024,SUB03,80,7
S145-25,2024-2025,SUB04,91,7
S146-25,2024-2025,SUB05,70,7
S147-25,2024-2025,SUB05,83,7
S274-25,2024-2025,SUB02,80,7
S154-24,2023-2024,SUB01,57,7
S099-24,2023-2024,SUB02,80,6
S156-25,2024-2025,SUB05,115,7
S158-25,2024-2025,SUB01,,7
S162-24,2023-2024,SUB04,,7
S106-25,2024-2025,SUB02,80,5
S820-25,2024-2025,SUB03,80,7
S256-25,2024-2025,SUB03,80,7
S173-24,2023-2024,SUB04,75,7
S148-25,2024-2025,SUB02,80,4
S342-24,2023-2024,SUB02,80,3
S817-24,2023-2024,SUB02,80,3
S071-25,2024-2025,SUB02,80,2
S931-24,2023-2024,SUB03,80,7
S184-24,2023-2024,SUB01,66,7
S145-25,2024-2025,SUB02,80,7
S186-24,2023-2024,SUB04,85,7
S188-24,2023-2024,SUB04,84,7
S190-24,2023-2024,SUB04,71,7
S191-25,2024-2025,SUB01,61,7
S154-24,2023-2024,SUB02,80,7
S194-25,2024-2025,SUB05,95,7
S647-25,2024-2025,SUB02,80,7
S711-25,2024-2025,SUB02,80,7
S061-25,2024-2025,SUB03,80,7
S197-25,2024-2025,SUB04,68,7
S198-24,2023-2024,SUB04,,7
S933-25,2024-2025,SUB03,80,7
S723-25,2024-2025,SUB02,80,7
S475-24,2023-2024,SUB03,80,7
S478-24,2023-2024,SUB03,80,7
S204-24,2023-2024,SUB01,53,7
S741-25,2024-2025,SUB03,80,7
S206-25,2024-2025,SUB05,62,7
S207-25,2024-2025,SUB05,79,7
S208-25,2024-2025,SUB01,73,7
S947-25,2024-2025,SUB02,80,8
S209-24,2023-2024,SUB04,57,7
S210-24,2023-2024,SUB01,45,7
S126-25,2024-2025,SUB03,80,7
S211-25,2024-2025,SUB04,87,7
S213-25,2024-2025,SUB04,52,7
S213-25,2024-2025,SUB05,43,7
S073-24,2023-2024,SUB02,80,7
S216-24,2023-2024,SUB04,86,7
S217-25,2024-2025,SUB01,94,7
S217-25,2024-2025,SUB05,80,7
S220-24,2023-2024,SUB05,65,7
S399-25,2024-2025,SUB02,80,7
S225-24,2023-2024,SUB04,58,7
S226-25,2024-2025,SUB01,,7
S228-25,2024-2025,SUB01,77,7
S230-24,2023-2024,SUB04,79,7
S232-25,2024-2025,SUB05,92,7
S233-25,2024-2025,SUB01,72,7
S632-25,2024-2025,SUB02,80,7
S238-25,2024-2025,SUB05,80,7
S241-25,2024-2025,SUB04,55,7
S245-25,2024-2025,SUB04,83,7
S246-25,2024-2025,SUB04,58,7
S246-25,2024-2025,SUB05,81,7
S178-25,2024-2025,SUB02,80,6
