student_id,academic_year,dropout_flag,dropout_date,dropout_stage,dropout_reason,overall_attendance_percentage,family_income_band,academic_score,institution_code,age_at_enrollment,gender
H325-23,2022-2023,1,24-03-2022,Early,Academic,85,Low,55,INST01,24,female
H002-21,2020-2021,0,,,,33,Low,62,INST01,25,Male
H003-23,2022-2023,0,,,,64,Low,58,INST02,24,male
H1822-22,2021-2022,1,09-11-2021,Late,Academic,55,Low,55,INST01,21,male
H005-23,2022-2023,0,,,,61,Low,81,INST02,20,male
H006-22,2021-2022,0,,,,88,Low,81,INST02,22,Male
H007-23,2022-2023,0,,,,62,Medium,41,INST02,24,male
H008-21,2020-2021,0,,,,39,High,69,INST01,21,female
H075-22,2021-2022,1,28-08-2021,Early,Financial,52,Low,55,INST01,19,female
H010-23,2022-2023,0,,,,57,Low,43,INST02,19,FEMALE
H011-23,2022-2023,0,,,,80,High,67,INST01,19,FEMALE
H997-21,2020-2021,1,17-12-2021,Early,Financial,52,Medium,55,INST01,17,MALE
H1666-22,2021-2022,1,10-11-2021,Early,Financial,52,Medium,55,INST01,22,Male
H014-22,2021-2022,0,,,,52,Low,72,INST01,21,Female
H1047-22,2021-2022,1,02-12-2021,Early,Academic,51,High,55,INST02,19,male
H016-21,2020-2021,0,,,,71,Medium,77,INST01,23,FEMALE
H017-23,2022-2023,0,,,,43,Medium,80,INST01,19,Male
H657-23,2022-2023,1,09-03-2022,Early,Personal,90,High,95,INST02,25,Female
H019-21,2020-2021,0,,,,30,Medium,55,INST01,17,male
H020-22,2021-2022,0,,,,94,Low,67,INST01,17,Male
H001-21,2020-2021,1,01-08-2021,Early,Academic,48,High,55,INST02,18,Male
H022-23,2022-2023,0,,,,51,Low,55,INST01,17,MALE
H023-23,2022-2023,0,,,,76,Medium,88,INST01,22,female
H024-21,2020-2021,0,,,,52,Low,88,INST02,17,male
H025-23,2022-2023,0,,,,31,Medium,49,INST01,24,male
H387-21,2020-2021,1,20-11-2021,Mid,Academic,47,Low,55,INST02,21,male
H027-22,2021-2022,0,,,,53,High,43,INST02,23,MALE
H397-23,2022-2023,1,05-01-2022,Late,Personal,45,Medium,95,INST02,20,Female
H1344-22,2021-2022,1,17-09-2021,Early,Financial,45,Low,55,INST02,20,female
H004-23,2022-2023,1,14-07-2021,Early,Personal,84,Low,95,INST01,20,Male
H031-23,2022-2023,0,,,,73,High,78,INST02,24,male
H088-21,2020-2021,1,27-10-2021,Mid,Personal,43,High,95,INST02,25,Female
H033-22,2021-2022,0,,,,44,Medium,75,INST01,20,FEMALE
H034-22,2021-2022,0,,,,77,High,55,INST02,23,male
H1188-23,2022-2023,1,14-03-2022,Late,Academic,43,Medium,55,INST02,,male
H1662-22,2021-2022,1,03-11-2021,Early,Financial,43,Medium,55,INST02,21,male
H879-23,2022-2023,1,08-02-2022,Mid,Financial,42,High,55,INST02,24,Female
H038-23,2022-2023,0,,,,37,Low,42,INST01,23,male
H039-22,2021-2022,0,,,,50,Medium,59,INST02,22,Male
H040-23,2022-2023,0,,,,92,High,67,INST02,22,male
H665-22,2021-2022,1,10-01-2022,Late,Personal,36,Medium,95,INST01,23,male
H856-22,2021-2022,1,04-03-2022,Mid,Financial,35,High,55,INST01,23,MALE
H043-21,2020-2021,0,,,,40,Medium,60,INST01,23,FEMALE
H044-23,2022-2023,0,,,,36,Medium,63,INST01,22,male
H045-21,2020-2021,0,,,,37,Medium,59,INST01,17,male
H046-21,2020-2021,0,,,,71,Low,73,INST01,25,Female
H1117-21,2020-2021,1,28-08-2021,Late,Financial,35,Medium,55,INST01,20,male
H048-23,2022-2023,0,,,,62,High,64,INST01,19,female
H049-21,2020-2021,0,,,,90,High,75,INST02,20,MALE
H054-22,2021-2022,1,12-01-2022,Late,Health,34,Low,95,INST02,18,Female
H051-22,2021-2022,0,,,,40,High,76,INST01,19,female
H052-22,2021-2022,0,,,,33,High,63,INST02,21,MALE
H632-23,2022-2023,1,27-10-2021,Early,Financial,34,Medium,55,INST02,17,Male
H1682-22,2021-2022,1,02-02-2022,Mid,Academic,31,Medium,55,INST01,20,Male
H055-21,2020-2021,0,,,,63,High,,INST01,22,female
H1862-22,2021-2022,1,03-09-2021,Mid,Health,30,Low,55,INST02,22,FEMALE
H057-23,2022-2023,0,,,,36,Medium,,INST02,23,female
H1929-23,2022-2023,1,01-03-2022,Late,Academic,30,Medium,55,INST02,23,female
H059-23,2022-2023,0,,,,43,Medium,43,INST02,17,female
H1055-21,2020-2021,1,27-08-2021,Late,Personal,28,Low,55,INST02,24,FEMALE
H994-23,2022-2023,1,23-03-2022,Early,Personal,25,High,55,INST01,22,FEMALE
H1820-21,2020-2021,1,30-10-2021,Mid,Academic,25,Medium,55,INST01,24,FEMALE
H063-21,2020-2021,0,,,,46,Low,48,INST01,17,MALE
H064-23,2022-2023,0,,,,35,High,52,INST02,24,FEMALE
H065-22,2021-2022,0,,,,77,Low,49,INST01,18,Female
H172-22,2021-2022,1,02-07-2021,Late,Personal,53,High,54,INST01,21,female
H067-21,2020-2021,0,,,,78,High,53,INST01,18,FEMALE
H733-21,2020-2021,1,14-09-2021,Mid,Health,53,Low,54,INST02,17,Female
H069-21,2020-2021,0,,,,42,High,62,INST01,24,MALE
H070-21,2020-2021,0,,,,72,Medium,56,INST02,18,Male
H071-21,2020-2021,0,,,,43,High,69,INST01,20,FEMALE
H072-23,2022-2023,0,,,,90,High,71,INST01,21,Female
H805-22,2021-2022,1,28-03-2022,Mid,Financial,53,High,54,INST02,21,Male
H074-22,2021-2022,0,,,,47,Low,37,INST02,22,female
H1469-22,2021-2022,1,09-08-2021,Late,Academic,53,Medium,54,INST02,23,male
H076-22,2021-2022,0,,,,81,Medium,59,INST01,20,Male
H377-22,2021-2022,1,18-12-2021,Early,Health,51,High,54,INST01,21,Male
H078-23,2022-2023,0,,,,86,Low,83,INST01,17,female
H079-22,2021-2022,0,,,,36,High,75,INST01,18,Female
H080-21,2020-2021,0,,,,35,Low,39,INST01,17,female
H081-22,2021-2022,0,,,,35,High,54,INST02,23,female
H082-22,2021-2022,0,,,,32,High,47,INST02,20,female
H083-22,2021-2022,0,,,,53,High,82,INST01,19,female
H084-22,2021-2022,0,,,,92,Medium,84,INST02,22,female
H085-22,2021-2022,0,,,,75,Low,73,INST01,21,FEMALE
H086-21,2020-2021,0,,,,67,High,56,INST01,21,FEMALE
H087-23,2022-2023,0,,,,39,Low,60,INST02,24,male
H1729-22,2021-2022,1,17-08-2021,Mid,Health,51,High,54,INST01,20,female
H1434-21,2020-2021,1,09-09-2021,Early,Health,50,Low,54,INST02,20,male
H090-22,2021-2022,0,,,,78,Low,80,INST02,18,MALE
H091-23,2022-2023,0,,,,64,High,49,INST01,24,Female
H092-21,2020-2021,0,,,,57,High,81,INST02,22,Female
H093-23,2022-2023,0,,,,72,High,81,INST01,20,FEMALE
H709-23,2022-2023,1,30-07-2021,Mid,Personal,48,High,54,INST01,25,male
H254-23,2022-2023,1,07-11-2021,Late,Academic,46,High,54,INST01,23,Female
H096-21,2020-2021,0,,,,71,Medium,35,INST01,25,Female
H097-22,2021-2022,0,,,,76,Medium,37,INST01,22,male
H299-21,2020-2021,1,20-09-2021,Late,Personal,45,Low,54,INST01,17,Male
H099-21,2020-2021,0,,,,69,Medium,52,INST02,22,Male
H374-21,2020-2021,1,15-10-2021,Late,Financial,45,High,54,INST02,21,female
H101-21,2020-2021,0,,,,46,Low,76,INST01,18,female
H102-21,2020-2021,0,,,,75,Low,73,INST01,25,MALE
H103-23,2022-2023,0,,,,53,High,,INST01,19,Female
H1130-21,2020-2021,1,16-09-2021,Early,Academic,45,,54,INST02,21,FEMALE
H105-22,2021-2022,0,,,,32,Low,,INST02,24,Male
H1631-23,2022-2023,1,03-11-2021,Mid,Financial,45,Medium,54,INST01,19,Female
H107-22,2021-2022,0,,,,36,Low,,INST02,20,female
H119-23,2022-2023,1,26-11-2021,Early,Health,43,High,54,INST02,19,Male
H109-21,2020-2021,0,,,,64,Low,,INST01,18,male
H1823-23,2022-2023,1,25-02-2022,Mid,Health,43,Low,54,INST01,25,MALE
H111-21,2020-2021,0,,,,79,High,87,INST02,22,male
H940-22,2021-2022,1,23-08-2021,Late,Personal,41,Low,54,INST01,17,FEMALE
H113-23,2022-2023,0,,,,42,Medium,36,INST02,19,FEMALE
H114-22,2021-2022,0,,,,34,Low,55,INST01,23,Male
H947-23,2022-2023,1,16-07-2021,Mid,Financial,41,,54,INST02,19,male
H1620-22,2021-2022,1,28-03-2022,Early,Personal,41,Medium,54,INST01,23,Male
H117-21,2020-2021,0,,,,63,Medium,67,INST01,22,Male
H413-21,2020-2021,1,17-12-2021,Mid,Personal,39,High,54,INST01,23,Female
H1312-21,2020-2021,1,15-09-2021,Late,Financial,39,Low,54,INST01,25,FEMALE
H1747-21,2020-2021,1,18-11-2021,Mid,Financial,39,Medium,54,INST02,19,MALE
H121-21,2020-2021,0,,,,69,High,65,INST01,21,Male
H122-23,2022-2023,0,,,,94,Low,54,INST02,23,female
H1915-22,2021-2022,1,24-11-2021,Late,Financial,39,High,54,INST02,20,Male
H124-22,2021-2022,0,,,,80,High,39,INST01,18,female
H125-22,2021-2022,0,,,,69,Medium,39,INST01,23,female
H435-23,2022-2023,1,03-12-2021,Late,Personal,38,High,54,INST01,19,Male
H127-23,2022-2023,0,,,,45,Medium,85,INST01,21,MALE
H128-21,2020-2021,0,,,,35,Low,86,INST02,21,FEMALE
H129-23,2022-2023,0,,,,70,Medium,78,INST02,18,female
H130-23,2022-2023,0,,,,53,Low,82,INST01,21,female
H098-21,2020-2021,1,26-12-2021,Early,Financial,37,Medium,54,INST02,19,female
H132-22,2021-2022,0,,,,72,Low,52,INST02,24,male
H349-21,2020-2021,1,10-03-2022,Mid,Financial,37,Low,54,INST01,17,male
H134-21,2020-2021,0,,,,86,High,36,INST02,20,male
H872-22,2021-2022,1,09-11-2021,Mid,Personal,37,Medium,54,INST01,23,MALE
H136-23,2022-2023,0,,,,47,Medium,70,INST02,17,male
H137-23,2022-2023,0,,,,78,High,70,INST02,21,Male
H933-23,2022-2023,1,27-07-2021,Early,Financial,37,High,54,INST01,25,male
H139-22,2021-2022,0,,,,46,High,50,INST01,17,MALE
H140-23,2022-2023,0,,,,90,Low,69,INST02,24,male
H242-22,2021-2022,1,16-06-2021,Early,Financial,36,High,54,INST02,21,Male
H142-22,2021-2022,0,,,,52,Low,80,INST01,19,FEMALE
H459-23,2022-2023,1,15-06-2021,Late,Academic,35,Low,54,INST01,21,Male
H144-23,2022-2023,0,,,,57,Low,78,INST01,19,Female
H145-22,2021-2022,0,,,,86,Low,40,INST01,25,FEMALE
H146-21,2020-2021,0,,,,59,High,63,INST02,19,male
H628-22,2021-2022,1,09-12-2021,Late,Financial,33,Medium,54,INST01,20,MALE
H429-22,2021-2022,1,02-09-2021,Mid,Academic,32,High,54,INST01,18,Female
H149-22,2021-2022,0,,,,48,Low,81,INST01,23,Male
H150-21,2020-2021,0,,,,88,Low,66,INST02,23,Female
H936-22,2021-2022,1,22-02-2022,Mid,Personal,32,High,54,INST01,21,female
H152-23,2022-2023,0,,,,53,High,50,INST02,17,Female
H1563-23,2022-2023,1,04-09-2021,Mid,Academic,32,Medium,54,INST01,24,Female
H154-23,2022-2023,0,,,,75,Low,45,INST02,19,female
H155-22,2021-2022,0,,,,87,Low,44,INST01,24,MALE
H1975-21,2020-2021,1,27-10-2021,Early,Financial,32,Medium,54,INST01,19,
H1568-23,2022-2023,1,27-06-2021,Early,Health,29,High,54,INST01,23,Female
H158-23,2022-2023,0,,,,60,Low,36,INST02,19,Male
H159-21,2020-2021,0,,,,58,Low,54,INST02,18,Female
H160-21,2020-2021,0,,,,54,Low,38,INST01,20,FEMALE
H161-21,2020-2021,0,,,,86,Low,82,INST01,19,female
H162-22,2021-2022,0,,,,93,Medium,79,INST02,20,Male
